id	entrezgene	genesymbol	nucleotidegi	ensemblgene	unigene	proteingi	go	BMDM_Trif-null_Unstimulated_0000___Female	BMDM_Trif-null_PAM3_0720_Poly-IC_0720_Male	BMDM_Trif-null_PAM3_0720_Poly-IC_0720_Female	BMDM_Trif-null_Leishmania-amazonensis_0720___Female	BMDM_Trif-null_Leishmania-amazonensis_0360___Female	BMDM_Trif-null_Leishmania-amazonensis_0060___Female	BMDM_MyD88-Trif-null_salmonella.wt_0720___Female	BMDM_MyD88-Trif-null_salmonella.wt_0480___Female	BMDM_MyD88-Trif-null_salmonella.wt_0240___Female	BMDM_MyD88-Trif-null_____Male	BMDM_MyD88-Trif-null_Poly-IC_1440___Male	BMDM_MyD88-Trif-null_Poly-IC_0720___Male	BMDM_MyD88-Trif-null_Poly-IC_0240___Male	BMDM_MyD88-Trif-null_MCMV_1440___Male	BMDM_MyD88-Trif-null_MCMV_0720___Male	BMDM_MyD88-Trif-null_MCMV_0240___Male	BMDM_IRF3-null_____Female	BMDM_IRF3-null_Poly-IC_0720___Female	BMDM_IRF3-null_PAM3_0720___Female	BMDM_IRF3-null_PAM3_0720_Poly-IC_0720_Female	BMDM_IRF3-null_LPS_0720___Female	BMDM_IRF1-null_____Male	BMDM_IRF1-null_____Female	BMDM_IRF1-null_Poly-IC_0720___Male	BMDM_IRF1-null_Poly-IC_0720___Female	BMDM_IRF1-null_Poly-IC_0240___Female	BMDM_IRF1-null_PAM3_0720___Male	BMDM_IRF1-null_PAM3_0720___Female	BMDM_IRF1-null_PAM3_0720_Poly-IC_0720_Male	BMDM_IRF1-null_PAM3_0720_Poly-IC_0720_Female	BMDM_IRF1-null_PAM3_0240___Female	BMDM_IRF1-null_PAM3_0240_Poly-IC_0240_Female	BMDM_IRF1-null_MCMV_0720___Male	BMDM_IRF1-null_LPS_0720___Male	BMDM_IRF1-null_LPS_0720___Female	BMDM_IRF1-null_LPS_0240___Female	BMDM_IRF1-null_Ifn-gamma_1020___Female	BMDM_IRF1-null_Ifn-gamma_1020_PAM3_0720_Female	BMDM_IRF1-null_Ifn-gamma_1020_CpG-B_0720_Female	BMDM_IRF1-null_Ifn-gamma_0720___Male	BMDM_IRF1-null_Ifn-gamma_0720___Female	BMDM_IRF1-null_Ifn-gamma_0540_PAM3_0240_Female	BMDM_IRF1-null_Ifn-gamma_0240___Female	BMDM_IFNAR1-null_____Female	BMDM_IFNAR1-null_Poly-IC_0720___Female	BMDM_IFNAR1-null_Poly-IC_0240___Female	BMDM_IFNAR1-null_PAM3_0720___Female	BMDM_IFNAR1-null_PAM3_0720_Poly-IC_0720_Female	BMDM_IFNAR1-null_PAM3_0240___Female	BMDM_IFNAR1-null_PAM3_0240_Poly-IC_0240_Female	BMDM_IFNAR1-null_LPS_0720___Female	BMDM_IFNAR1-null_LPS_0240___Female	BMDM_Dicer-fl/fl_____Male	BMDM_Dicer-fl/fl_LPS_0360___Male	BMDM_Dicer-fl/fl-LyszCre+/-_____Male	BMDM_Dicer-fl/fl-LyszCre+/-_Unstimulated_0000___Male	BMDM_Dicer-fl/fl-LyszCre+/-_LPS_0360___Male	BMDM_Dicer-fl/+-LyszCre+/-_____Male	BMDM_Dicer-fl/+-LyszCre+/-_Unstimulated_0000___Male	BMDM_Dicer-fl/+-LyszCre+/-_LPS_0360___Male	BMDM_Cebp/d-null_Unstimulated_0000___Female	BMDM_Cebp/d-null_Poly-IC_0720___Female	BMDM_Cebp/d-null_Poly-IC_0240___Female	BMDM_Cebp/d-null_PAM3_0720___Female	BMDM_Cebp/d-null_PAM3_0240___Female	BMDM_Cebp/d-null_PAM3_0060___Female	BMDM_Cebp/d-null_LPS_0720___Female	BMDM_Cebp/d-null_LPS_0240___Female	BMDM_Cebp/d-null_LPS_0060___Female	BMDM_CD200-null_Unstimulated_0000___Female	BMDM_CD200-null_Leishmania-major_0360___Female	BMDM_CD200-null_Leishmania-major_0060___Female	BMDM_CD200-null_Leishmania-amazonensis_0360___Female	BMDM_CD200-null_Leishmania-amazonensis_0060___Female	BMDM_Bl6_salmonella.wt_0720___Female	BMDM_Bl6_salmonella.wt_0480___Female	BMDM_Bl6_salmonella.wt_0240___Female	BMDM_Bl6_____Male	BMDM_Bl6_Unstimulated_0240___Female	BMDM_Bl6_Unstimulated_0000___Male	BMDM_Bl6_Unstimulated_0000___Female	BMDM_Bl6_Poly-IC_1440___Male	BMDM_Bl6_Poly-IC_0720___Male	BMDM_Bl6_Poly-IC_0720___Female	BMDM_Bl6_Poly-IC_0240___Male	BMDM_Bl6_Poly-IC_0240___Female	BMDM_Bl6_PR8-influenza_0720___Female	BMDM_Bl6_PAM3_0720___Female	BMDM_Bl6_PAM3_0720_Poly-IC_0720_Female	BMDM_Bl6_PAM3_0240___Female	BMDM_Bl6_PAM3_0240_Poly-IC_0240_Female	BMDM_Bl6_PAM3_0060___Female	BMDM_Bl6_MCMV_1440___Male	BMDM_Bl6_MCMV_0720___Male	BMDM_Bl6_MCMV_0240___Male	BMDM_Bl6_Listeria_0720___Female	BMDM_Bl6_Listeria_0480___Female	BMDM_Bl6_Listeria_0240___Female	BMDM_Bl6_Leishmania-major_0360___Female	BMDM_Bl6_Leishmania-major_0060___Female	BMDM_Bl6_Leishmania-amazonensis_0720___Male	BMDM_Bl6_Leishmania-amazonensis_0360___Male	BMDM_Bl6_Leishmania-amazonensis_0360___Female	BMDM_Bl6_Leishmania-amazonensis_0060___Male	BMDM_Bl6_Leishmania-amazonensis_0060___Female	BMDM_Bl6_LPS_0720___Female	BMDM_Bl6_LPS_0240___Female	BMDM_Bl6_LPS_0180___Female	BMDM_Bl6_LPS_0120___Female	BMDM_Bl6_LPS_0060___Female	BMDM_Bl6_Ifn-gamma_1440___Female	BMDM_Bl6_Ifn-gamma_1440_Estradiol_1440_Female	BMDM_Bl6_Ifn-gamma_1020___Female	BMDM_Bl6_Ifn-gamma_1020_PAM3_0720_Female	BMDM_Bl6_Ifn-gamma_1020_CpG-B_0720_Female	BMDM_Bl6_Ifn-gamma_0720___Male	BMDM_Bl6_Ifn-gamma_0720___Female	BMDM_Bl6_Ifn-gamma_0540_PAM3_0240_Female	BMDM_Bl6_Ifn-gamma_0240___Female	BMDM_Bl6_Ifn-beta_1440___Female	BMDM_Bl6_Harlan-Substance-A_1440___Female	BMDM_Bl6_Harlan-Substance-A_1080___Female	BMDM_Bl6_Harlan-Substance-A_0720___Female	BMDM_Bl6_Harlan-Substance-A_0480___Female	BMDM_Bl6_Harlan-Substance-A_0360___Female	BMDM_Bl6_Harlan-Substance-A_0240___Female	BMDM_Bl6_FliCProfect_0720___Female	BMDM_Bl6_FliCProfect_0240___Female	BMDM_Bl6_FlgEProfect_0720___Female	BMDM_Bl6_FlgEProfect_0240___Female	BMDM_Bl6_EtOH_1440___Female	BMDM_Bl6_Estradiol_1440___Female	BMDM_Bl6_Estradiol_1440_Ifn-gamma_1440_Female
100009600_at	100009600				Mm.461217	NP_001096638|XP_001475206|XP_001475765	GO:0000122|GO:0003677|GO:0003700|GO:0005634|GO:0006350|GO:0006355|GO:0007275|GO:0007283|GO:0008270|GO:0016564|GO:0043565|GO:0046872|GO:0048599	5.743190	6.179691	6.131397	5.783235	5.843867	5.639983	5.986521	5.901283	5.822196	5.439748	5.747348	6.002230	5.361821	5.594121	5.783623	5.872792	5.955726	6.073653	5.994742	6.089570	6.113874	6.350628	5.650459	6.941772	6.041054	5.760507	5.695153	5.947050	6.117708	5.912172	6.626860	5.888852	5.745978	6.212601	6.166774	6.284661	6.052886	6.043509	6.870384	6.208019	5.773147	6.279624	6.129469	5.928165	6.514619	5.931458	6.120683	5.898136	5.948211	6.247656	6.235739	5.897932	6.156369	6.062607	5.889758	5.836285	6.462387	5.947765	5.739680	6.249150	5.798802	5.697786	5.848709	5.957340	6.009901	6.008414	5.602791	5.728330	5.789614	6.087224	5.883889	5.654803	5.792609	5.654372	5.825075	5.824933	5.970467	5.464883	5.922617	5.736660	5.856215	5.703311	5.789418	5.977507	5.455891	5.488475	5.714482	5.702005	5.769620	6.047735	6.145470	5.724103	5.521034	5.638129	5.691788	6.161789	6.053435	5.830961	6.033408	5.879975	5.777260	5.851585	6.012676	5.959430	6.277927	5.946005	6.049617	6.239042	6.172329	5.721459	5.627232	5.689614	5.784530	6.009481	5.791726	6.131122	6.093309	6.256969	6.101704	5.671014	5.987207	5.990679	5.878873	5.976463	5.843730	5.876939	5.625821	5.974575	6.110477	5.591837	5.642329	5.688770	5.612789
102545_at	102545	Cmtm7			Mm.35600	NP_598739	GO:0005125|GO:0005615|GO:0006935|GO:0016020|GO:0016021	11.332394	9.973563	10.438826	10.925762	10.857029	11.178439	11.026228	11.036830	11.088883	10.912845	11.067636	11.090002	11.110162	10.474273	11.094891	11.513798	11.290988	10.811901	10.961300	10.628333	10.845354	11.133129	11.079563	10.095872	10.338243	10.831681	10.961377	10.804809	9.922158	10.057216	10.331555	10.711369	10.371250	9.981269	10.464168	10.739684	10.868616	10.564478	10.128735	11.009768	11.142438	10.283656	11.219486	11.269516	10.803606	10.805673	11.177400	11.111746	10.066956	9.878850	11.011388	9.993797	10.964826	10.657366	10.899238	11.139785	10.576684	10.970258	11.227363	10.867813	11.004978	11.116292	10.979415	10.791086	10.656280	11.288092	10.815271	11.300265	11.138424	10.829385	10.194687	10.973895	10.529839	10.782170	10.401879	10.180491	10.259086	11.559847	10.859418	11.150244	10.985594	10.967019	11.259521	10.344382	11.819939	10.895452	7.994072	10.796403	10.188689	9.834200	10.722983	10.772339	10.670648	10.956633	11.436525	10.271628	10.526823	10.861927	10.791437	10.394627	10.945024	10.549683	10.197227	11.182966	10.999128	10.390016	10.513060	10.678163	10.871053	10.915405	11.423208	11.609979	11.873373	11.281322	11.099196	11.706933	11.528391	11.266584	11.522794	10.373625	11.366688	11.429681	11.156340	11.355639	10.999180	11.033265	10.291634	10.778787	10.448536	10.751963	10.934029	11.199744	11.482794
103889_at	103889	Hoxb2		ENSMUSG00000075588	Mm.281153	NP_598793	GO:0002011|GO:0003677|GO:0003700|GO:0005634|GO:0006350|GO:0006355|GO:0007275|GO:0009952|GO:0009953|GO:0021569|GO:0021570|GO:0021612|GO:0043565|GO:0045449|GO:0048705|GO:0048857	6.086891	6.365340	6.527346	6.502647	6.229486	6.014658	6.130060	6.074043	6.201930	5.759526	6.107510	5.723930	5.779676	6.200387	6.129287	6.200782	6.123093	6.496784	6.200749	6.214950	6.193815	7.078473	6.067439	6.946721	6.678515	6.140234	6.316062	6.215382	6.081527	6.199255	6.516560	6.162412	6.260391	6.410605	6.500074	6.331896	6.532812	6.224960	6.548499	6.317621	6.358968	6.452234	6.041607	6.178673	6.808589	6.037426	6.477503	6.039683	6.136095	6.265601	6.543620	6.182201	6.768127	6.401237	6.244300	6.185462	6.817695	6.556474	6.251182	6.468177	6.094555	6.021055	5.975715	6.134031	6.266927	6.248338	5.862357	5.966538	6.020226	6.396893	6.687383	6.022432	6.455747	6.010788	6.120610	6.040308	6.135019	5.770951	6.244504	6.084877	6.306776	6.103161	6.125770	6.145364	6.052286	6.275605	6.582575	5.777927	6.248751	6.152359	6.246493	6.016919	5.835322	6.166887	5.909652	6.302601	6.288317	6.134125	6.354460	6.502767	6.045539	6.213185	6.480280	6.501668	6.362448	6.469314	6.191627	6.265848	6.276092	5.867133	5.984506	6.355744	5.984783	6.315991	5.882000	6.402146	6.486611	6.598146	6.443709	6.077630	6.201228	6.298378	6.289987	6.408124	5.969019	6.137829	6.150666	6.221334	6.498365	6.230183	6.023036	6.175895	5.897687
104156_at	104156	Etv5		ENSMUSG00000013089	Mm.155708	NP_076283	GO:0003677|GO:0003700|GO:0005634|GO:0006355|GO:0009887|GO:0016563|GO:0043565|GO:0045941	10.125804	8.587414	7.253446	10.820583	8.309039	10.369987	9.868573	9.720687	9.758918	8.173452	7.510804	7.391503	9.062556	7.941511	6.812681	9.044942	9.992070	6.754210	9.695188	8.890815	9.104937	8.878788	8.939225	6.722248	6.942520	8.304610	8.843673	8.567054	8.761056	7.986146	8.127126	7.811243	6.998711	8.794578	8.646248	8.107087	9.924022	9.191277	9.088028	9.505854	9.914903	8.308116	9.686589	10.286940	9.428857	9.738684	9.192010	9.089245	8.618206	8.383941	9.456097	8.533605	10.353868	7.719990	10.831322	10.106562	7.594978	10.226503	9.770202	7.664933	10.720406	10.635941	10.091513	9.257169	8.786853	10.684692	9.829823	8.881287	10.198014	10.212198	7.891736	10.137216	7.923613	10.421952	9.633982	9.101946	7.787306	9.409396	9.979513	9.999633	9.884035	8.765051	7.666247	6.704994	8.076606	8.551324	11.165728	8.876600	8.709250	8.541698	8.248024	9.891013	8.514435	7.475718	9.033042	8.095185	8.168554	8.846981	9.850558	7.856017	10.406244	8.472593	8.316875	9.927612	9.815095	8.404622	8.695794	9.033957	9.421511	9.985332	9.518721	9.767569	9.642205	8.508233	8.620435	8.871456	9.754271	7.661236	9.364809	7.485123	7.988939	8.895804	10.452832	9.910557	10.333011	10.292709	10.084658	8.983648	9.637680	9.202845	7.114514	7.934001	9.166059
104360_at	104360	Isl2		ENSMUSG00000032318	Mm.273996	NP_081673	GO:0003677|GO:0003700|GO:0005634|GO:0006355|GO:0007275|GO:0008270|GO:0043565|GO:0045449|GO:0046872	6.593694	6.770645	6.985109	6.735150	6.425336	6.836722	6.792499	6.479122	6.666085	6.322048	6.468833	6.622675	6.502038	6.786342	6.793670	6.813351	6.915471	7.224149	6.528804	6.968532	6.763147	7.473031	6.556487	7.465821	7.105700	6.806460	6.662510	6.748308	7.090578	6.986363	7.206525	6.800896	6.617406	7.254967	6.927754	6.874753	6.991923	6.915374	7.414639	6.806343	6.913871	7.114039	6.901900	6.757645	7.352302	6.490094	6.998291	6.534083	6.762460	6.762366	6.945560	6.694370	7.030736	7.245424	6.701902	6.657722	7.313066	7.104617	6.375045	7.139779	6.362510	6.444328	6.373116	6.688994	6.721808	6.633057	6.561782	6.525292	6.566598	7.138605	7.179839	6.553546	7.261541	6.632357	6.606651	6.693459	6.774839	6.384932	6.550499	6.853651	6.807928	6.570123	6.597908	6.755383	6.813440	6.410679	6.226128	6.466740	6.780393	6.477014	6.838417	6.350489	6.433561	6.761604	6.411328	6.782929	6.908422	6.608865	6.943657	7.140373	6.551179	6.787075	6.966000	7.048142	7.162841	6.694600	6.717995	7.047091	6.787326	6.522793	6.348030	6.496715	6.627647	6.784316	6.793124	6.824663	6.843105	7.129154	6.646558	6.420286	6.867517	6.765195	6.699579	7.020539	6.679906	6.650716	7.044102	6.881926	7.052072	6.626945	6.524046	6.409262	6.438102
104382_at	104382	Barhl2			Mm.271593	NP_001005477	GO:0001709|GO:0001764|GO:0003674|GO:0003677|GO:0003700|GO:0005634|GO:0006350|GO:0006355|GO:0007275|GO:0030182|GO:0030516|GO:0043565|GO:0045165|GO:0045449|GO:0045727	5.864294	6.281654	6.238213	5.592157	5.971345	5.636045	5.830286	5.637304	5.801440	5.254299	5.649260	5.409671	5.359977	5.827660	5.673441	5.831882	5.806616	6.251840	5.736711	5.840974	6.131222	6.425786	5.626474	6.492832	6.399996	6.012136	6.078057	6.026537	6.232179	5.829972	6.238100	5.902984	6.264847	6.549501	6.141314	6.031676	6.153942	6.002835	6.412494	5.789135	5.916083	6.138979	5.924446	5.948120	6.513595	5.628423	6.151180	5.730117	5.939867	5.952661	6.222133	5.723813	6.081905	6.023887	5.753159	5.649015	6.401233	6.199273	5.344969	6.222278	5.686309	5.730024	5.579618	5.813450	5.870773	5.810237	5.701624	6.052200	5.746460	6.106600	5.993638	5.625436	6.161537	5.917586	6.026868	5.844570	5.853270	5.171303	5.483356	5.820276	5.881270	5.567664	5.777587	5.897219	5.642704	5.482001	5.654665	5.532929	5.840129	5.635987	5.774821	5.464411	5.628675	5.858924	5.429050	5.874958	6.036132	5.618049	5.894473	5.783578	5.787106	6.197504	6.077106	5.962830	6.309191	5.996412	5.727079	6.049135	5.823852	5.619200	5.934032	5.660219	5.658006	5.859167	5.882583	5.936103	6.205558	6.020950	6.168258	5.994445	5.562767	5.725930	5.864016	6.186535	5.730465	5.467972	5.946803	5.996508	6.129879	5.846775	5.859972	5.641682	5.759569
104383_at	104383	Rcor2		ENSMUSG00000024968	Mm.283859	NP_473389	GO:0003677|GO:0003700|GO:0003714|GO:0005515|GO:0005634|GO:0005667|GO:0006350|GO:0006355|GO:0016481	5.903273	6.546518	6.355892	5.897513	5.911638	5.895521	6.509327	6.205683	6.047849	5.865090	5.889323	5.812287	5.861915	6.004402	6.024112	5.924505	6.226885	6.236830	6.385550	6.734863	6.364020	6.542111	5.848727	6.930707	6.455450	6.210123	7.103552	6.335516	6.503857	6.214483	6.690192	6.140466	6.214636	6.248642	6.138034	6.201465	6.120870	6.530860	7.056039	6.198809	5.985683	6.405017	6.130215	6.218967	6.738953	5.966374	7.285944	6.872099	6.337960	6.555213	7.317530	6.529062	6.113925	6.126748	6.094593	6.015678	6.335815	6.176686	6.106091	5.989247	6.057177	6.200244	6.224930	6.347562	6.332790	6.449969	5.724148	6.666876	6.716676	6.249197	6.445791	6.146886	6.385199	6.056816	6.549310	6.381026	6.384884	5.574808	5.854272	6.020228	6.045700	5.910258	6.059654	6.278985	6.536454	6.137349	5.926142	6.741775	6.471058	6.440314	6.298048	5.989649	5.754014	5.919436	5.856130	6.598736	6.097224	6.105558	6.124844	6.423903	5.847864	6.066269	6.479379	6.260816	6.258337	6.164043	6.333684	6.634176	6.573881	6.051379	5.937661	5.861077	6.005314	7.437139	7.363527	6.196709	6.162496	6.567181	6.039832	5.756891	6.072239	6.241945	5.910587	6.136348	5.791556	5.890105	5.931713	5.968607	6.274892	5.952712	6.110125	5.948725	5.956227
104394_at	104394	E2f4		ENSMUSG00000014859	Mm.34554	NP_683754	GO:0000083|GO:0002064|GO:0003677|GO:0003700|GO:0005515|GO:0005634|GO:0005667|GO:0005737|GO:0006350|GO:0006355|GO:0006884|GO:0007049|GO:0008015|GO:0008361|GO:0009887|GO:0042127|GO:0042384|GO:0051726	9.431940	9.133436	8.853107	9.710993	9.345604	9.439651	9.851368	9.872800	9.693400	8.548391	8.911262	8.834841	8.743336	8.898020	8.511916	8.823119	9.125295	8.685209	9.416679	9.165692	9.442722	8.686692	9.004151	8.327427	8.603739	8.984851	9.537783	9.568852	9.062906	9.259152	8.886073	9.080853	8.452749	9.148125	9.310508	8.949391	9.248533	9.558809	9.341104	9.087483	9.194609	8.900055	9.271606	9.205509	9.062659	9.533945	9.685487	9.859550	9.616457	9.662287	9.812615	9.559701	9.240640	8.945587	9.446397	9.253814	8.774314	9.306526	9.063707	9.080386	9.739758	9.950482	9.973510	10.092116	9.894415	9.857612	9.953768	9.885864	9.463237	9.362762	9.411564	9.150817	9.389631	9.437528	9.606266	9.459554	9.143200	9.281929	9.133933	9.170419	9.262214	9.541989	9.346913	8.755044	9.318586	9.242791	8.119651	9.586889	9.218021	9.478897	8.930910	8.898744	9.037775	9.022725	9.270855	9.228292	9.053255	9.376517	9.231691	9.474088	9.701812	8.914258	9.577392	9.353480	8.991891	9.072226	9.179389	8.847551	8.922840	8.976329	8.796643	9.029721	9.128718	9.368556	9.369688	8.810493	9.168335	8.949274	9.244909	8.694173	8.988710	9.160716	9.283774	9.325175	9.237902	9.523164	9.034330	9.495164	9.426251	9.436297	8.446079	8.469766	8.583274
107503_at	107503	Atf5		ENSMUSG00000038539	Mm.389890	NP_109618	GO:0003677|GO:0003700|GO:0003702|GO:0005634|GO:0005667|GO:0005737|GO:0006350|GO:0006355|GO:0006357|GO:0006916|GO:0042127|GO:0043565|GO:0046983|GO:0051726	8.482193	9.705204	8.661295	8.585308	8.950081	8.849271	8.245693	8.177557	8.485855	8.489351	9.678919	8.886515	8.573008	9.458147	8.524562	9.065089	8.776545	8.891828	8.891272	9.034395	8.793512	9.358076	8.986632	9.452754	9.017227	8.680459	9.407480	8.713170	9.240768	9.185216	9.215146	9.084810	9.584988	9.529404	9.053953	8.874264	8.059972	8.385643	8.545321	8.537033	8.590781	8.584220	8.915080	8.694419	8.677212	9.148868	8.959527	8.863750	9.447065	9.520438	8.957684	9.572427	8.496027	8.543296	8.365987	8.699345	8.390234	8.486518	9.050937	8.320950	8.361376	8.637176	8.413587	8.193272	8.810803	8.758201	8.359726	8.820148	8.874902	8.305470	8.694715	8.525264	8.588089	8.491721	8.635073	8.562941	8.315569	8.930696	8.498704	8.671126	8.235475	10.099141	9.252318	8.885481	8.643313	8.506760	9.390058	8.630305	9.173933	8.884184	8.598714	7.966417	9.470960	9.277430	8.960276	8.018938	8.268703	8.032083	8.519772	8.699393	8.837275	8.420835	8.463160	9.122231	8.198230	9.188936	8.327585	8.297279	8.229194	8.173190	8.858239	8.525493	8.677083	8.777835	8.645594	8.915950	8.460075	8.601645	8.878418	9.638799	8.626531	9.154105	8.814101	8.794646	8.588884	8.592190	8.451419	9.169197	8.867067	8.607242	8.774519	8.656325	8.697630
107527_at	107527	Il1rl2		ENSMUSG00000070942	Mm.155583	NP_573456	GO:0004872|GO:0004888|GO:0004907|GO:0004908|GO:0004909|GO:0007165|GO:0016020|GO:0016021|GO:0031224|GO:0045087	5.453913	5.724073	5.916944	5.265866	6.153912	5.032456	4.998022	5.086648	5.260918	5.448071	5.310976	4.671572	5.420038	5.052363	5.013181	5.299201	4.944758	5.260530	7.499347	7.094342	7.596386	5.318472	5.188648	5.469213	5.336301	5.114435	7.408302	8.043642	6.489145	7.434034	5.708362	4.979709	5.425140	5.728373	6.571504	5.167372	5.124316	6.132896	5.505612	4.807404	5.222801	5.626277	4.872535	4.803117	5.692360	4.891032	6.625630	7.872873	4.802132	5.183508	6.674152	5.015690	4.772571	5.118780	5.018870	5.222223	5.315394	4.935576	4.970290	4.989096	4.987239	5.113081	4.930630	7.556723	5.065610	5.076241	6.346542	4.841739	4.911029	5.563964	5.545539	5.768679	6.364879	5.503001	7.152506	6.466604	5.588158	5.129310	4.794412	5.564564	5.355291	5.387077	5.166823	5.091396	4.761966	4.905985	6.473914	8.362452	5.902824	5.409496	5.281892	5.031540	5.704049	5.064853	5.201803	5.419061	5.580198	5.989263	5.760707	5.667554	5.176676	6.031674	6.910883	5.079254	5.421556	5.665995	5.357693	5.495769	5.578977	5.083149	4.762290	5.052629	4.819111	5.098572	5.068326	4.779383	4.918065	5.169082	4.858590	5.251369	4.645761	4.839698	4.586055	4.629237	4.847328	4.956063	5.518580	5.032040	5.351327	5.165009	4.848307	4.969547	4.697656
